year_numeric,Biodiversity,Climate/Carbon,Diversity/Equity,Energy,Governance,Human Rights/Labor,Materials,Supply Chain,Waste/Circular Economy,Water
2020,111,752,247,262,543,141,22,493,154,90
2021,76,1167,211,388,450,196,32,718,294,634
2022,170,1458,284,673,698,242,40,967,369,941
2023,182,1681,305,777,805,279,40,1047,487,960
2024,128,350,228,128,784,220,16,488,215,193
2025,33,18,57,7,169,44,1,139,15,11
